epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1023.06,1.69848,1.7162,1.57368,0.44399,0.29619,0.29584,0.12807,2.34459,2.01002,1.8561,0.00076482,0.00076482,0.00076482
43,1040.53,1.58525,1.54254,1.50628,0.37019,0.39894,0.32514,0.14829,2.31372,2.09237,1.78487,0.000742815,0.000742815,0.000742815
44,1051.13,1.63492,1.52326,1.59761,0.37019,0.39894,0.32514,0.14829,2.31372,2.09237,1.78487,0.000720811,0.000720811,0.000720811
45,1065.71,1.65987,1.52288,1.59005,0.37019,0.39894,0.32514,0.14829,2.31372,2.09237,1.78487,0.000698806,0.000698806,0.000698806
46,1083.1,1.74635,1.6072,1.56308,0.4307,0.39082,0.34711,0.15814,2.29415,2.01077,1.77785,0.000676802,0.000676802,0.000676802
47,1095.65,1.58868,1.45381,1.48,0.4307,0.39082,0.34711,0.15814,2.29415,2.01077,1.77785,0.000654798,0.000654798,0.000654798
48,1107.88,1.75192,1.55042,1.56535,0.4307,0.39082,0.34711,0.15814,2.29415,2.01077,1.77785,0.000632793,0.000632793,0.000632793
49,1122.89,1.77038,1.73992,1.66261,0.4307,0.39082,0.34711,0.15814,2.29415,2.01077,1.77785,0.000610789,0.000610789,0.000610789
50,1139.87,1.64745,1.4762,1.56459,0.44206,0.36361,0.35482,0.15425,2.27308,2.06793,1.75451,0.000588784,0.000588784,0.000588784
51,1150.26,1.58937,1.27606,1.44812,0.44206,0.36361,0.35482,0.15425,2.27308,2.06793,1.75451,0.00056678,0.00056678,0.00056678
52,1164.44,1.75167,1.64322,1.56109,0.44206,0.36361,0.35482,0.15425,2.27308,2.06793,1.75451,0.000544776,0.000544776,0.000544776
53,1182.34,1.69677,1.57991,1.56041,0.41372,0.42777,0.39764,0.17927,2.22604,2.0362,1.70533,0.000522771,0.000522771,0.000522771
54,1193.32,1.56123,1.31401,1.56697,0.41372,0.42777,0.39764,0.17927,2.22604,2.0362,1.70533,0.000500767,0.000500767,0.000500767
55,1205.49,1.51283,1.27727,1.43412,0.41372,0.42777,0.39764,0.17927,2.22604,2.0362,1.70533,0.000478762,0.000478762,0.000478762
